Economies and Consumers Annual Data | Historical,,,,,,,,,,,
Guatemala,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,856.2,886.2,734,976.1,"1,136.00","1,233.30"
Guatemala,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,112.6,114.7,116,137,152.9,153.9
Honduras,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,528.7,570.3,617.8,735.7,784.4,823.1
Honduras,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,151.8,159.2,167.7,175.4,190.8,200.6
Mexico,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"40,606.60","39,574.30","28,545.40","33,941.20","39,335.90","53,085.50"
Mexico,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,150.9,153.4,164.9,182.1,197.5,212.8
Panama,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"2,306.90","2,433.30","1,853.80","2,128.90","2,459.90","2,705.80"
Panama,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,124.5,123.5,124.5,127.1,128.7,128.7
Paraguay,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,756.5,734.6,675.3,755.9,843.7,881.4
Paraguay,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,140.3,143.7,146,152,166.7,173.7
Peru,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"1,777.40","1,829.50","1,547.00","1,663.40","1,921.00","2,115.70"
Peru,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,134.9,139,142.4,148.2,160.2,167.5
Uruguay,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,630.6,592.6,496,534.4,648.3,747.2
Uruguay,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,142.6,178.7,192.9,205.4,227.6,252.1
Venezuela,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"1,249.50",574.5,565.7,726.2,"1,163.50","1,299.90"
Venezuela,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,"1,348,660.00","1,959,029,471.00","38,711,253,070.00","841,000,000,000.00","4,390,000,000,000.00","24,353,400,000,000.00"
Algeria,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"4,449.70","4,516.60","4,129.50","4,390.00","4,704.10","5,351.30"
Algeria,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,150.1,149.9,154.7,160.9,175.9,189.4
Angola,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,403.7,291.7,242.8,274.9,471.4,343.5
Angola,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,357.1,418.8,536.7,672.5,770.3,848.5
Bahrain,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"1,154.60","1,167.30","1,090.80","1,151.50","1,253.80","1,291.70"
Bahrain,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,120.6,123.7,123.5,123.3,128.8,134.5
Cameroon,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,498.2,502.4,534.3,606.8,574.5,653.4
Cameroon,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,130.6,132.7,135.9,135.9,137,149.3
Côte d'Ivoire,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,953.6,946.4,"1,043.90","1,195.00","1,154.20","1,332.00"
Côte d'Ivoire,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,110.8,111.6,123.8,129.1,136.3,140.7
Egypt,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"2,490.60","1,934.20","1,814.60","2,794.30","2,849.40","2,368.40"
Egypt,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,289.8,268.5,290.2,311.1,358.4,387.8
Ethiopia,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,201.5,249.2,275.8,293.5,354.5,467.5
Ethiopia,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,184.2,222.1,331.3,379.6,453.9,505.4
Ghana,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,414.6,458.2,407.8,426,396.6,470.3
Ghana,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,584.3,690.4,724.3,774.6,942.9,"1,007.10"
Iran,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"1,992.40","1,814.70","1,455.20","1,755.10","2,444.40","2,193.90"
Iran,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,506.7,595.9,740,"1,062.00","1,475.40","1,788.20"
Iraq,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"3,375.60","3,467.10","3,181.60","2,945.60","3,163.10","3,750.40"
Iraq,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,120.2,121.3,122.3,130.9,139.7,147.1
Israel,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"6,527.60","7,049.70","6,307.40","8,417.80","8,748.20","8,774.50"
Israel,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,93.5,94,95.1,98.5,102.7,103.2
Jordan,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"2,791.30","2,734.60","2,642.90","2,891.40","3,202.90","3,506.50"
Jordan,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,135.9,134.8,132.4,138,146.1,152.3
Kenya,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"1,732.10","1,930.20","1,818.40","1,944.40","2,254.30","2,130.10"
Kenya,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,174.2,186.2,198.4,223.7,243.3,265.9
Kuwait,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,643.8,661,489.1,527.5,706.2,694
Kuwait,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,126.9,128.7,130.9,135.2,140.9,144.2
Lebanon,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"2,304.50","2,380.10",626.2,772.6,"1,314.30","1,442.00"
Lebanon,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,119.1,121.6,222.4,551.6,"1,454.30","2,710.10"
Morocco,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"3,474.40","3,506.80","3,190.70","3,908.60","3,766.20","4,053.70"
Morocco,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,102.3,102,101.5,101.6,107.3,110.2
Nigeria,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"2,808.50","3,036.80","2,303.20","2,348.00","2,676.50","1,881.60"
Nigeria,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,215.1,223.7,239.2,268.6,310.8,347.6
Oman,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"2,543.10","2,284.80","1,504.80","1,998.90","2,629.00","2,926.90"
Oman,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,101.6,98.6,97.4,97.5,98.8,99.7
Qatar,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"2,582.30","2,648.70","2,404.00","2,523.20","2,953.70","2,727.70"
Qatar,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,108,107.8,104.6,106.6,111.4,115.1
Saudi Arabia,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"29,937.60","32,741.60","29,611.60","33,576.90","36,667.90","39,036.10"
Saudi Arabia,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,111.9,109.9,117.9,126.5,130.8,133.2
South Africa,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"10,367.50","9,639.10","7,794.60","10,857.60","11,392.40","10,614.00"
South Africa,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,146.6,151.6,158.5,167,176.7,186.5
Tanzania,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,653.9,683.7,738.7,798.6,884.8,944.2
Tanzania,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,142.6,146.5,157.7,160.5,175.1,182.1
Tunisia,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,602.6,600,457.4,588.4,637.8,721.6
Tunisia,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,166.6,176,171.9,186,202.6,213.5
Uganda,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,232.9,254,264.4,298.4,309,350.4
Uganda,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,128.3,135,154.5,153.7,154.2,159.7
United Arab Emirates,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"2,147.80","2,235.90","2,299.80","2,444.70","2,917.30","3,090.70"
United Arab Emirates,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,101.1,97.5,91.9,100.3,124.4,129.2
Canada,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"66,227.30","64,587.20","54,910.60","66,843.80","66,723.10","71,815.70"
Canada,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,117,118.9,122.9,130.4,137.3,128
USA,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"446,435.90","440,271.10","457,153.30","599,527.80","624,476.90","645,332.80"
USA,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,101.9,102.5,104.2,117.5,132.4,133.1
Austria,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"7,842.40","7,180.80","6,967.90","7,474.30","7,016.10","7,676.30"
Austria,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,105.1,105.8,106.7,109.1,120.5,127.8
Belgium,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"8,315.10","8,145.70","7,630.50","7,272.70","7,730.60","9,017.70"
Belgium,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,110.9,113,115.1,117.7,127,129.4
Denmark,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"6,974.80","7,139.30","7,348.70","7,952.80","7,745.40","8,282.40"
Denmark,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,96.4,97,97,99.4,108.2,109.7
Finland,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"4,589.50","4,299.80","4,075.10","4,429.60","3,588.10","3,814.40"
Finland,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,101.5,100.1,101.3,104.4,111.4,113.4
France,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"51,915.70","49,564.10","41,625.00","43,659.40","41,624.60","48,954.40"
France,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,110.7,110.2,110.8,111.9,117.3,118.1
Germany,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"93,715.40","97,070.60","98,073.40","93,806.70","82,840.20","88,006.90"
Germany,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,108.3,110.1,110.1,112.4,123.6,125.8
Greece,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"4,252.80","4,628.30","4,286.30","5,311.00","5,598.30","5,931.10"
Greece,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,101.8,102,102.2,103.3,106.9,113.4
Ireland,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"5,115.80","5,155.30","4,367.80","4,384.00","3,897.30","4,385.90"
Ireland,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,80.8,80.6,82.1,88,97.1,102.3
Italy,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"40,859.90","39,629.10","34,059.70","38,852.70","40,727.20","43,435.10"
Italy,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,115.4,116.8,118.5,120.9,123.5,124.9
Netherlands,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"13,114.40","12,445.00","12,916.60","13,789.10","12,771.90","14,236.90"
Netherlands,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,114.1,114.7,116.5,120.7,127.2,133.9
Norway,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"9,734.40","9,484.30","9,008.20","10,992.70","10,905.00","10,120.80"
Norway,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,109.5,110.8,112.7,115,119.9,122.3
Portugal,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"8,115.00","7,718.40","6,170.30","6,567.40","7,347.60","8,163.40"
Portugal,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,108.1,112.4,113.9,116.7,124.7,130.2
Spain,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"29,204.60","26,659.90","20,572.70","25,460.80","24,147.30","26,823.90"
Spain,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,113.6,114.7,115.3,117.6,126.5,134.9
Sweden,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"8,519.40","8,438.30","8,212.70","10,895.20","10,404.80","9,979.50"
Sweden,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,97.6,100.4,103.1,106.3,114.2,121.1
Switzerland,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"9,069.90","8,022.90","9,808.60","10,061.40","9,692.90","9,978.30"
Switzerland,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,74.6,75.4,78.5,79.5,84.3,85.2
Turkey,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"39,603.80","34,253.50","31,739.30","36,287.60","39,067.30","50,392.70"
Turkey,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,184,176.4,176.9,225,293.6,332.6
United Kingdom,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"75,341.00","77,024.10","66,988.60","78,310.60","76,036.60","83,487.70"
United Kingdom,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,110.3,116.2,122.4,131,142.5,146.1
